ObjectDatabase,SchemaName,ObjectName,ObjectType,ObjectID,RefdDatabase,RefdSchema,RefdObjectName,RefdObjectType,referenced_id
WideWorldImporter,Integration,GetCityUpdates,PROC,1758629308,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetCustomerUpdates,PROC,1774629365,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetEmployeeUpdates,PROC,1790629422,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetPaymentMethodUpdates,PROC,1806629479,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetStockItemUpdates,PROC,1822629536,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetSupplierUpdates,PROC,1838629593,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Integration,GetTransactionTypeUpdates,PROC,1854629650,WideWorldImporter,NULL,cc,NULL,100000001
WideWorldImporter,Application,DetermineCustomerAccess,Function,1051150790,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Application,DetermineCustomerAccess,Function,1051150790,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Application,DetermineCustomerAccess,Function,1051150790,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Integration,GetCityUpdates,PROC,1758629308,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Website,Suppliers,View,1678629023,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Website,Customers,View,1694629080,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Website,SearchForSuppliers,PROC,926626344,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Website,SearchForCustomers,PROC,942626401,WideWorldImporter,Application,Cities,Table,402100473
WideWorldImporter,Integration,GetCityUpdates,PROC,1758629308,WideWorldImporter,Application,Cities_Archive,Table,482100758
WideWorldImporter,Application,Configuration_ConfigureForEnterpriseEdition,PROC,1742629251,WideWorldImporter,Application,Configuration_ApplyColumnstoreIndexing,PROC,1582628681
WideWorldImporter,Application,Configuration_ConfigureForEnterpriseEdition,PROC,1742629251,WideWorldImporter,Application,Configuration_ApplyFullTextIndexing,PROC,1614628795
WideWorldImporter,Application,Configuration_ConfigureForEnterpriseEdition,PROC,1742629251,WideWorldImporter,Application,Configuration_ApplyPartitioning,PROC,1630628852
WideWorldImporter,DataLoadSimulation,ReactivateTemporalTablesAfterDataLoad,PROC,862626116,WideWorldImporter,Application,Configuration_ApplyRowLevelSecurity,PROC,1486628339
WideWorldImporter,Application,Configuration_ConfigureForEnterpriseEdition,PROC,1742629251,WideWorldImporter,Application,Configuration_EnableInMemory,PROC,1598628738
WideWorldImporter,DataLoadSimulation,DeactivateTemporalTablesBeforeDataLoad,PROC,846626059,WideWorldImporter,Application,Configuration_RemoveRowLevelSecurity,PROC,1726629194
WideWorldImporter,Integration,GetCityUpdates,PROC,1758629308,WideWorldImporter,Application,Countries,Table,1461580245
WideWorldImporter,Integration,GetCityUpdates,PROC,1758629308,WideWorldImporter,Application,Countries_Archive,Table,1557580587
WideWorldImporter,Website,Customers,View,1694629080,WideWorldImporter,Application,DeliveryMethods,Table,1573580644
WideWorldImporter,Website,Suppliers,View,1678629023,WideWorldImporter,Application,DeliveryMethods,Table,1573580644
WideWorldImporter,Application,FilterCustomersBySalesTerritoryRole,Security Policy,1067150847,WideWorldImporter,Application,DetermineCustomerAccess,Function,1051150790
WideWorldImporter,Application,FilterCustomersBySalesTerritoryRole,Security Policy,1067150847,WideWorldImporter,Application,DetermineCustomerAccess,Function,1051150790
WideWorldImporter,Integration,GetPaymentMethodUpdates,PROC,1806629479,WideWorldImporter,Application,PaymentMethods,Table,1669580986
WideWorldImporter,Integration,GetPaymentMethodUpdates,PROC,1806629479,WideWorldImporter,Application,PaymentMethods_Archive,Table,1749581271
WideWorldImporter,Integration,GetEmployeeUpdates,PROC,1790629422,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Integration,GetSupplierUpdates,PROC,1838629593,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Integration,GetCustomerUpdates,PROC,1774629365,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,Suppliers,View,1678629023,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,Customers,View,1694629080,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,ActivateWebsiteLogon,PROC,1646628909,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,ChangePassword,PROC,1662628966,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,SearchForSuppliers,PROC,926626344,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,SearchForPeople,PROC,910626287,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Website,SearchForCustomers,PROC,942626401,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Application,People,Table,1301579675,WideWorldImporter,Application,People,Table,1301579675
WideWorldImporter,Application,People,Table,1301579675,WideWorldImporter,Application,People,Table,1301579675
